Wall time,Step,Value
1590868044.939432,0,0.5702155232429504
1590868679.969625,1,0.5097975134849548
1590869470.458549,2,0.5
1590870247.561088,3,0.5006531476974487
1590871043.001518,4,0.501959502696991
1590871885.031703,5,0.5088177919387817
1590872749.120575,6,0.5045721530914307
1590873608.140842,7,0.4993468225002289
1590874479.010837,8,0.5
1590875357.129578,9,0.5
